ASSAULT,5/20/2013 05:30 PM,36.1507786,-86.7600539,900_BLOCK_CANNON_ST_Nashville_TN_USA
ASSAULT,5/20/2013 05:30 PM,36.1507786,-86.7600539,900_BLOCK_CANNON_ST_Nashville_TN_USA
THEFT/LARCENY,5/20/2013 05:40 PM,36.152419,-86.841218,4500_BLOCK_CHARLOTTE_AVE_Nashville_TN_USA
THEFT/LARCENY,5/20/2013 06:00 PM,36.172004,-86.750315,1100_BLOCK_BOSCOBEL_ST_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/20/2013 06:05 PM,36.1642207,-86.7767119,600_BLOCK_COMMERCE_ST_Nashville_TN_USA
ASSAULT,5/20/2013 06:45 PM,36.1615395,-86.7759787,3RD_AVE_S_AND_BROADWAY_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/20/2013 07:15 PM,36.1623851,-86.7820215,CAPITOL_BLVD_AND_CHURCH_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/20/2013 07:20 PM,36.1651598,-86.7772412,400_BLOCK_2ND_AVE_N_Nashville_TN_USA
ASSAULT,5/20/2013 07:30 PM,36.1637456,-86.7829006,CAPITOL_BLVD_AND_UNION_ST_Nashville_TN_USA
BURGLARY,5/20/2013 07:50 PM,36.174854,-86.806576,1600_BLOCK_17TH_AVE_N_Nashville_TN_USA
ASSAULT,5/20/2013 07:58 PM,36.174653,-86.812927,1600_BLOCK_23RD_AVE_N_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/20/2013 08:30 PM,36.151509,-86.783238,600_BLOCK_12TH_AVE_S_Nashville_TN_USA
ASSAULT,5/20/2013 09:00 PM,36.1605042,-86.7784255,100_BLOCK_5TH_AVE_N_Nashville_TN_USA
ASSAULT,5/20/2013 09:15 PM,36.1650528,-86.7570428,600_BLOCK_DEW_ST_Nashville_TN_USA
THEFT/LARCENY,5/20/2013 10:00 PM,36.169685,-86.807065,1800_BLOCK_JEFFERSON_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/20/2013 10:10 PM,36.1630277,-86.777149,300_BLOCK_COMMERCE_ST_Nashville_TN_USA
DISTURBING THE PEACE,5/21/2013 12:00 AM,36.1516705,-86.7942455,1800_BLOCK_DIVISION_ST_Nashville_TN_USA
DUI,5/21/2013 12:00 AM,36.1502583,-86.7944523,18TH_AVE_S_AND_ROY_ACUFF_PL_Nashville_TN_USA
DISTURBING THE PEACE,5/21/2013 12:00 AM,36.1651346,-86.8240332,3400_BLOCK_ALAMEDA_ST_Nashville_TN_USA
ASSAULT,5/21/2013 02:10 AM,36.1506913,-86.7679246,2ND_AVE_S_AND_LAFAYETTE_ST_Nashville_TN_USA
THEFT/LARCENY,5/21/2013 03:15 AM,36.1537994,-86.79442,1700_BLOCK_WEST_END_AVE_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/21/2013 05:30 AM,36.167618,-86.7791405,200_BLOCK_JAMES_ROBERTSON_PKWY_Nashville_TN_USA
ASSAULT,5/21/2013 06:00 AM,36.1727529,-86.7352502,2000_BLOCK_FATHERLAND_ST_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/21/2013 06:00 AM,36.151572,-86.799773,2000_BLOCK_WEST_END_AVE_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/21/2013 06:00 AM,36.167618,-86.7791405,200_BLOCK_JAMES_ROBERTSON_PKWY_Nashville_TN_USA
WEAPONS,5/21/2013 06:00 AM,36.1755306,-86.7879083,1200_BLOCK_5TH_AVE_N_Nashville_TN_USA
ASSAULT,5/21/2013 06:25 AM,36.153067,-86.778142,700_BLOCK_DREXEL_ST_Nashville_TN_USA
ASSAULT,5/21/2013 06:25 AM,36.153067,-86.778142,700_BLOCK_DREXEL_ST_Nashville_TN_USA
ROBBERY,5/21/2013 06:30 AM,36.1753464,-86.7588221,MAIN_ST_AND_N_8TH_ST_Nashville_TN_USA
ASSAULT,5/21/2013 11:45 AM,36.1803594,-86.804441,1800_BLOCK_11TH_AVE_N_Nashville_TN_USA
THEFT/LARCENY,5/21/2013 12:45 PM,36.1733355,-86.7914144,1100_BLOCK_ROSA_L_PARKS_BLVD_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/21/2013 03:45 PM,36.1517845,-86.7777336,7TH_AVE_S_AND_MIDDLETON_ST_Nashville_TN_USA
THEFT/LARCENY,5/21/2013 04:00 PM,36.168403,-86.81724,2600_BLOCK_JEFFERSON_ST_Nashville_TN_USA
ASSAULT,5/21/2013 05:00 PM,36.169268,-86.7578779,500_BLOCK_S_7TH_ST_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/21/2013 05:00 PM,36.175476,-86.805282,1600_BLOCK_16TH_AVE_N_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/21/2013 05:00 PM,36.168124,-86.759752,600_BLOCK_SHELBY_AVE_Nashville_TN_USA
THEFT/LARCENY,5/21/2013 05:30 PM,36.1621247,-86.7826271,300_BLOCK_7TH_AVE_N_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/21/2013 05:30 PM,36.1652294,-86.8239452,31ST_AVE_N_AND_ALAMEDA_ST_Nashville_TN_USA
THEFT/LARCENY,5/21/2013 06:00 PM,36.1599954,-86.7954354,1500_BLOCK_CHARLOTTE_AVE_Nashville_TN_USA
ARSON,5/21/2013 06:40 PM,36.1795431,-86.8422132,1400_BLOCK_SNELL_BLVD_Nashville_TN_USA
THEFT/LARCENY,5/21/2013 07:50 PM,36.168319,-86.760305,S_6TH_ST_AND_SHELBY_AVE_Nashville_TN_USA
ROBBERY,5/21/2013 08:00 PM,36.180437,-86.8030812,10TH_AVE_N_AND_BUCHANAN_ST_Nashville_TN_USA
BURGLARY,5/21/2013 09:00 PM,36.173239,-86.805522,1700_BLOCK_KNOWLES_ST_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/21/2013 10:30 PM,36.15932,-86.841343,4500_BLOCK_MICHIGAN_AVE_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/21/2013 11:00 PM,36.167618,-86.7791405,200_BLOCK_JAMES_ROBERTSON_PKWY_Nashville_TN_USA
WEAPONS,5/21/2013 11:00 PM,36.1674083,-86.7547334,800_BLOCK_S_8TH_CT_Nashville_TN_USA
ROBBERY,5/21/2013 11:10 PM,36.1713402,-86.7992109,12TH_AVE_N_AND_JEFFERSON_ST_Nashville_TN_USA
DUI,5/22/2013 12:00 AM,36.1520857,-86.7931669,1700_BLOCK_DIVISION_ST_Nashville_TN_USA
DUI,5/22/2013 12:00 AM,36.1545987,-86.7890403,14TH_AVE_S_AND_MCGAVOCK_ST_Nashville_TN_USA
BURGLARY,5/22/2013 12:00 AM,36.1757739,-86.794214,800_BLOCK_MONROE_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 01:00 AM,36.1516252,-86.7566379,FAIN_ST_AND_FAIRFIELD_AVE_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 01:40 AM,36.1803336,-86.8044495,11TH_AVE_N_AND_BUCHANAN_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 02:00 AM,36.1604836,-86.7784329,BROADWAY_AND_OPRY_PL_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/22/2013 06:30 AM,36.17362,-86.736703,1900_BLOCK_RUSSELL_ST_Nashville_TN_USA
ASSAULT,5/22/2013 07:00 AM,36.155237,-86.83264,600_BLOCK_39TH_AVE_N_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/22/2013 08:15 AM,36.166389,-86.762477,400_BLOCK_SHELBY_AVE_Nashville_TN_USA
ROBBERY,5/22/2013 09:22 AM,36.180556,-86.807013,1200_BLOCK_BUCHANAN_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 10:10 AM,36.155237,-86.83264,600_BLOCK_39TH_AVE_N_Nashville_TN_USA
VANDALISM,5/22/2013 01:00 PM,36.1623615,-86.806329,2000_BLOCK_BRITT_PL_Nashville_TN_USA
ASSAULT,5/22/2013 01:30 PM,36.1767698,-86.7890072,5TH_AVE_N_AND_MONROE_ST_Nashville_TN_USA
THEFT/LARCENY,5/22/2013 02:50 PM,36.1757739,-86.794214,800_BLOCK_MONROE_ST_Nashville_TN_USA
BURGLARY,5/22/2013 03:00 PM,36.1701914,-86.8166901,2500_BLOCK_W_HEIMAN_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 03:30 PM,36.167618,-86.7791405,200_BLOCK_JAMES_ROBERTSON_PKWY_Nashville_TN_USA
THEFT/LARCENY,5/22/2013 04:00 PM,36.1757739,-86.794214,800_BLOCK_MONROE_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 04:05 PM,36.1604645,-86.7785138,500_BLOCK_BROADWAY_Nashville_TN_USA
ASSAULT,5/22/2013 05:00 PM,36.1578813,-86.8265897,3300_BLOCK_TORBETT_ST_Nashville_TN_USA
ASSAULT,5/22/2013 06:00 PM,36.1728251,-86.752124,S_10TH_ST_AND_BOSCOBEL_ST_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/22/2013 06:00 PM,36.1518725,-86.7635446,00_BLOCK_UNIVERSITY_CT_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/22/2013 06:45 PM,36.15664,-86.797633,1700_BLOCK_STATE_ST_Nashville_TN_USA
VANDALISM,5/22/2013 07:00 PM,36.1758789,-86.7570457,900_BLOCK_MAIN_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 07:50 PM,36.1698461,-86.735927,S_20TH_ST_AND_SHELBY_AVE_Nashville_TN_USA
ASSAULT,5/22/2013 08:35 PM,36.180114,-86.792642,1600_BLOCK_6TH_AVE_N_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 09:13 PM,36.1766753,-86.7708779,DICKERSON_PIKE_AND_SPRING_ST_Nashville_TN_USA
ASSAULT,5/22/2013 09:25 PM,36.171233,-86.805036,1700_BLOCK_SCOVEL_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 09:30 PM,36.1759251,-86.8093164,DR_D_B_TODD_JR_BLVD_AND_WHELESS_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 09:30 PM,36.1766753,-86.7708779,DICKERSON_PIKE_AND_SPRING_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 09:56 PM,36.1800641,-86.811026,BUCHANAN_ST_AND_DR_D_B_TODD_JR_BLVD_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 10:15 PM,36.1811922,-86.7688839,BERRY_ST_AND_MERIDIAN_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/22/2013 10:48 PM,36.1742205,-86.7873656,5TH_AVE_N_AND_JEFFERSON_ST_Nashville_TN_USA
ASSAULT,5/22/2013 11:00 PM,36.1591488,-86.8227283,2900_BLOCK_CLIFTON_AVE_Nashville_TN_USA
DUI,5/23/2013 12:00 AM,36.18153,-86.749789,500_BLOCK_GALLATIN_AVE_Nashville_TN_USA
